userid,username,count
12416317,珂朵莉0,1.0
13512620,serch,1.0
14413572,User2,1.0
16472872,zoombie,1.0
18916203,格蕾的伦敦生活,1.0
21006918,ytwangyao,1.0
21750748,憧憬成为幸运星,1.0
24544524,罗联网安Dandelion,1.0
24632317,结城明日奈゚,3.0
27546315,乔魑风-乔斯达,1.0
28259425,那边见,1.0
29528005,忻州师范学院招生办,1.0
30506824,小珈又堕落了,2.0
30913645,假面愚者小花火,1.0
32289714,手中的丛雨丸开始取消,1.0
34318072,anan1234,1.0
34321167,黑盒小帕,28.0
35216211,电電将军,27.0
43040255,废物的咸鱼,1.0
44195615,无-光之影,1.0
44506627,甲文,1.0
44755660,和泉妃爱_official,1.0
44778321,€λ,1.0
45251727,不要在做的时候表白啊,20.0
45369123,da2333,50.0
46848866,爱摸幼刀的钢板,1.0
47092340,柚子家的缪缪,1.0
47119447,小小机兵,1.0
48409590,Cydream,1.0
49674508,柚子厨414,1.0
50319407,灵梦小猫娘,1.0
50439910,世一病,1.0
52640128,逆转结局、,1.0
52765374,沐琳OvO,1.0
53281261,蓮見瑠衣,1.0
56252264,-Asher,1.0
56752760,快给我摸你穷,1.0
56804259,Cloud09_Official,1.0
56827695,Elysia,42.0
57030579,要加油了,7.0
57696683,柚子社official,4.0
58158356,糸　いと,1.0
59843085,凡,1.0
59951103,Aezlyn,2.0
60357374,姬野永远official,2.0
60542026,真真真的不想取名,1.0
60801863,猪猪虾仁,1.0
61259916,日出东方,2.0
61310773,晓天233,1.0
62220455,呀那么起来,1.0
62393030,可可爱爱あめり,1.0
62933053,綾地寧々天下第一,2.0
63282851,てんどう万象,1.0
63480906,玩家63480906,1.0
63491167,娶东北雨享带派人生,9.0
63618196,忘玄e,1.0
64652903,吾輩は守護者,1.0
65779867,七分糖少冰加料,18.0
66296067,uvxouao,1.0
66506975,今晚谁做饭,1.0
66899823,长安chan,1.0
66982399,断雪星回,1.0
67313026,我有超级爱梓病,1.0
67600930,sola,7.0
67605024,妃爱_Hiyori,28.0
67630560,陽見恵凪,51.0
67693568,nananaa,1.0
67739305,憧憬成为妹卡糕手,50.0
68262634,可燃冰ice,37.0
68711940,A恋恋,3.0
68725971,misuzu-观海之铃,1.0
69105923,鹿良冷花,1.0
69295658,来杯日式豆浆,53.0
69480387,封Seal,6.0
70039899,ニコニコ公式,1.0
70078610,绫华趴窝,1.0
70134879,米库不吃米,9.0
70661717,不抽香烟吃香菜版,1.0
70757685,樱庭瑠莉_official,12.0
70846476,THELASTAUTUMN,47.0
71864003,淘宝用户71864003,1.0
72266683,nanami_official,49.0
72878396,有地将臣_Official,2.0
73497075,白雪乃爱品阅本子版,1.0
73619786,kuruMi,2.0
73859904,沈言喵,1.0
74384774,浮生醉梦天下,1.0
74620024,翼条闲余,1.0
74731489,肘宫可,20.0
74833864,iwrbathy,1.0
75440329,阿然君,1.0
75781499,本子才,3.0
75972863,-小绫-,11.0
76010577,秋日的幸福,1.0
76264767,Ciallo学长,59.0
76277746,某不知名铁路人偶,33.0
76685556,AlertKarma,18.0
77738657,穗织小幼刀,30.0
77825796,RebeccaKruger,7.0
77871403,漫一_Official,3.0
78196865,映仙,7.0
78257264,みき,1.0
78534953,Elysia,61.0
78741495,暮暮彻彻子,1.0
79561286,冰淇淋企鹅,1.0
79995259,小花园战神,20.0
80384915,渺望星尘,5.0
80491396,AdobePhotoshop,1.0
81322067,Dr衣架,4.0
81339652,ShirleyWarwick,39.0
81557030,辰星誓约,1.0
81630953,yuuloo,1.0
82325723,0d00卡哇伊,1.0
82528538,吃大枣补身体,1.0
82578965,穗织小幼刀w,1.0
82921072,不不上上早八,1.0
83240538,能美库特_official,13.0
84392488,玩家84392488,1.0
85037948,four,10.0
